model,acc,pairwise_acc,pairwise_acc_50,pairwise_acc_60,pairwise_acc_70,precision_caption,precision_foil
ALBEF,0.5105698529411765,0.5183823529411765,0.3336397058823529,0.2858455882352941,0.2398897058823529,0.5413602941176471,0.4797794117647059
ALBEF,0.008329834452975,0.0084572936660268,0.0054432581573896,0.0046635076775431,0.0039137476007677,0.0088321737044145,0.0078274952015355
ALBEF,0.533109404990403,0.5412667946257198,0.3483685220729366,0.2984644913627639,0.2504798464491363,0.5652591170825336,0.5009596928982726
ALBEF,0.5374280230326296,0.5786948176583493,0.4001919385796545,0.3570057581573896,0.2936660268714011,0.6103646833013435,0.4644913627639155
ALBEF,0.5374280230326296,0.5786948176583493,0.4001919385796545,0.3570057581573896,0.2936660268714011,0.6103646833013435,0.4644913627639155
ALBEF,0.5374280230326296,0.5786948176583493,0.4001919385796545,0.3570057581573896,0.2936660268714011,0.6103646833013435,0.4644913627639155
ALBEF,0.5374280230326296,0.5786948176583493,0.4001919385796545,0.3570057581573896,0.2936660268714011,0.6103646833013435,0.4644913627639155
ALBEF,0.5405690200210748,0.589041095890411,0.4172813487881981,0.3740779768177028,0.309799789251844,0.6269757639620653,0.4541622760800843
XVLM,0.5827186512118019,0.7102212855637513,0.5426765015806112,0.4815595363540569,0.4193888303477344,0.7038988408851422,0.4615384615384615
XVLM,0.5827186512118019,0.7102212855637513,0.5426765015806112,0.4815595363540569,0.4193888303477344,0.7038988408851422,0.4615384615384615
X2VLM,0.5242360379346681,0.5753424657534246,0.48788198103266595,0.47418335089567965,0.45732349841938885,0.7513171759747103,0.2971548998946259
